Pos_encoded,R2,RMSE,Position
3,0.5814043725232503,2.243020129771504,LW
1,0.7060841403275033,1.3189330910447377,D
0,0.8055087368727836,1.4255018997605573,C
4,0.5935242945069972,1.9506576624770602,RW
